"HitCorrect","age","botresponse","category","comments","descriptions","difficulties","endTime","image","languages","past_experience","reaction_times","startDate","startTime","timeSpent","topic","trial_number","usefulness","anon_worker_id"
1,42,"Olivia","Hairstyle",NA,"two football players on a field, one falling down while the ball is mid air","one did not load",1625247939027,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg","english",0,"18302","Fri Jul 02 2021 13:41:06 GMT-0400 (Eastern Daylight Time)",1625247666136,4.54818333333333,"soccer_in_progress",0,"yes","175149250395342"
1,42,"Olivia","Furniture",NA,"a group of people sitting around a conference table  with laptops while looking back at the camera","one did not load",1625247939027,"La_Trobe_Uni_Wikimeetup_March_2020.jpg","english",0,"19172","Fri Jul 02 2021 13:41:06 GMT-0400 (Eastern Daylight Time)",1625247666136,4.54818333333333,"meeting_in_progress",1,"yes","175149250395342"
1,42,"Olivia","Tableware",NA,"a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white","one did not load",1625247939027,"Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg","english",0,"27811","Fri Jul 02 2021 13:41:06 GMT-0400 (Eastern Daylight Time)",1625247666136,4.54818333333333,"laid_table",2,"yes","175149250395342"
1,42,"Olivia","Christian cross",NA,"A large brown church built of concrete with a black roof and headstones in front of the building","one did not load",1625247939027,"Dreifaltigkeitskirche_süd.jpg","english",0,"37046","Fri Jul 02 2021 13:41:06 GMT-0400 (Eastern Daylight Time)",1625247666136,4.54818333333333,"church",3,"yes","175149250395342"
1,42,"Olivia","Montane Ecosystems",NA,"image did not load","one did not load",1625247939027,"640px-Río_Matanuska,_Palmer,_Alaska,_Estados_Unidos,_2017-08-22,_DD_55-59_PAN.jpeg","english",0,"6387","Fri Jul 02 2021 13:41:06 GMT-0400 (Eastern Daylight Time)",1625247666136,4.54818333333333,"mountains",4,"yes","175149250395342"
1,42,"Olivia","Window",NA,"a wooden dining table set with  a large lamp above it with a large window and an open door showing a bookcase full of books nearby","one did not load",1625247939027,"Wohnzimmer_Fallada_1.JPG","english",0,"35414","Fri Jul 02 2021 13:41:06 GMT-0400 (Eastern Daylight Time)",1625247666136,4.54818333333333,"living_room",5,"yes","175149250395342"
1,36,"Amelia","Furniture","N/A","A large extended work table which is being used a conference room with many people at the table.|A large extended work table which is being used in a conference room with many people at the table.","The soccer match for advertising was a little out of place. It would make you think sports more than advertising.",1625248367407,"Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg","English",0,"57118|8737","Fri Jul 02 2021 13:42:08 GMT-0400 (Eastern Daylight Time)",1625247728057,10.6558333333333,"meeting_in_progress",0,"Yes","406286876794715"
1,36,"Amelia","Christian cross","N/A","A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.","The soccer match for advertising was a little out of place. It would make you think sports more than advertising.",1625248367407,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg","English",0,"57421","Fri Jul 02 2021 13:42:08 GMT-0400 (Eastern Daylight Time)",1625247728057,10.6558333333333,"church",1,"Yes","406286876794715"
1,36,"Amelia","Montane Ecosystems","N/A","A scene of mountain slopes with different slopes separated by a large body of water. The mountain slopes are examples of montane ecosystems.","The soccer match for advertising was a little out of place. It would make you think sports more than advertising.",1625248367407,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg","English",0,"85651","Fri Jul 02 2021 13:42:08 GMT-0400 (Eastern Daylight Time)",1625247728057,10.6558333333333,"mountains",2,"Yes","406286876794715"
1,36,"Amelia","Advertising","N/A","A soccer match between two teams. One team is wearing a white jersey with Red Bull advertising. There are also signs in the background with advertising as well.","The soccer match for advertising was a little out of place. It would make you think sports more than advertising.",1625248367407,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","English",0,"46222","Fri Jul 02 2021 13:42:08 GMT-0400 (Eastern Daylight Time)",1625247728057,10.6558333333333,"soccer_in_progress",3,"Yes","406286876794715"
1,36,"Amelia","Interior design","N/A","The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.","The soccer match for advertising was a little out of place. It would make you think sports more than advertising.",1625248367407,"Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg","English",0,"42597","Fri Jul 02 2021 13:42:08 GMT-0400 (Eastern Daylight Time)",1625247728057,10.6558333333333,"living_room",4,"Yes","406286876794715"
1,36,"Amelia","Dinner","N/A","A traditional American meal filling up a table. There is a red table cloth and plate settings. In addition, there are red solo cups for drinks. Food  items include pie, vegetables, mashed potatoes, deviled eggs, and shredded chicken.","The soccer match for advertising was a little out of place. It would make you think sports more than advertising.",1625248367407,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","English",0,"84042","Fri Jul 02 2021 13:42:08 GMT-0400 (Eastern Daylight Time)",1625247728057,10.6558333333333,"laid_table",5,"Yes","406286876794715"
NA,42,"Amelia","Building material","GOOD","I CAN SEE YOU THE PICTURE FOR CHURCH ONLY CHRISTIN SAYS CALLED IN THE TEMPLE","FOODS ARE THE VERY IMPORTANT",1625251373555,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg","ENGLISH",1,"969772","Fri Jul 02 2021 11:11:16 GMT-0700 (Pacific Daylight Time)",1625249476145,31.6235,"church",0,"GOOD","175371103674597"
NA,42,"Amelia","American cuisine","GOOD","I CAN SEE THE IMAGE IN FOODS","FOODS ARE THE VERY IMPORTANT",1625251373555,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","ENGLISH",1,"113888","Fri Jul 02 2021 11:11:16 GMT-0700 (Pacific Daylight Time)",1625249476145,31.6235,"laid_table",1,"GOOD","175371103674597"
